2026-06-09 22:48:05 | INFO     | ingestion.scrapers.base_scraper:run |   page 11: 33 listings
2026-06-09 22:48:10 | INFO     | ingestion.scrapers.base_scraper:run |   page 12: 33 listings
2026-06-09 22:48:15 | INFO     | ingestion.scrapers.base_scraper:run |   page 13: 33 listings
2026-06-09 22:48:19 | INFO     | ingestion.scrapers.base_scraper:run |   page 14: 33 listings
2026-06-09 22:48:23 | INFO     | ingestion.scrapers.base_scraper:run |   page 15: 33 listings
2026-06-09 22:48:28 | SUCCESS  | ingestion.scrapers.base_scraper:run | [mubawab][rabat] total: 990
2026-06-09 22:48:30 | SUCCESS  | ingestion.pipeline:run_ingestion | [rabat] 990 found → 963 new
2026-06-09 22:48:30 | INFO     | ingestion.scrapers.base_scraper:run | [mubawab][marrakech] location...
2026-06-09 22:48:31 | INFO     | ingestion.scrapers.base_scraper:run |   page 1: 33 listings
2026-06-09 22:48:35 | INFO     | ingestion.scrapers.base_scraper:run |   page 2: 33 listings
2026-06-09 22:48:39 | INFO     | ingestion.scrapers.base_scraper:run |   page 3: 33 listings
2026-06-09 22:48:42 | INFO     | ingestion.scrapers.base_scraper:run |   page 4: 33 listings
2026-06-09 22:48:47 | INFO     | ingestion.scrapers.base_scraper:run |   page 5: 33 listings
2026-06-09 22:48:52 | INFO     | ingestion.scrapers.base_scraper:run |   page 6: 33 listings
2026-06-09 22:48:56 | INFO     | ingestion.scrapers.base_scraper:run |   page 7: 33 listings
2026-06-09 22:49:00 | INFO     | ingestion.scrapers.base_scraper:run |   page 8: 33 listings
2026-06-09 22:49:04 | INFO     | ingestion.scrapers.base_scraper:run |   page 9: 33 listings
2026-06-09 22:49:07 | INFO     | ingestion.scrapers.base_scraper:run |   page 10: 33 listings
2026-06-09 22:49:11 | INFO     | ingestion.scrapers.base_scraper:run |   page 11: 33 listings
2026-06-09 22:49:15 | INFO     | ingestion.scrapers.base_scraper:run |   page 12: 33 listings
2026-06-09 22:49:20 | INFO     | ingestion.scrapers.base_scraper:run |   page 13: 33 listings
2026-06-09 22:49:25 | INFO     | ingestion.scrapers.base_scraper:run |   page 14: 33 listings
2026-06-09 22:49:29 | INFO     | ingestion.scrapers.base_scraper:run |   page 15: 33 listings
2026-06-09 22:49:32 | INFO     | ingestion.scrapers.base_scraper:run | [mubawab][marrakech] vente...
2026-06-09 22:49:33 | INFO     | ingestion.scrapers.base_scraper:run |   page 1: 33 listings
2026-06-09 22:49:39 | INFO     | ingestion.scrapers.base_scraper:run |   page 2: 33 listings
2026-06-09 22:49:44 | INFO     | ingestion.scrapers.base_scraper:run |   page 3: 33 listings
2026-06-09 22:49:48 | INFO     | ingestion.scrapers.base_scraper:run |   page 4: 33 listings
2026-06-09 22:49:53 | INFO     | ingestion.scrapers.base_scraper:run |   page 5: 33 listings
2026-06-09 22:49:58 | INFO     | ingestion.scrapers.base_scraper:run |   page 6: 33 listings
2026-06-09 22:50:02 | INFO     | ingestion.scrapers.base_scraper:run |   page 7: 33 listings
2026-06-09 22:50:07 | INFO     | ingestion.scrapers.base_scraper:run |   page 8: 33 listings
2026-06-09 22:50:12 | INFO     | ingestion.scrapers.base_scraper:run |   page 9: 33 listings
2026-06-09 22:50:18 | INFO     | ingestion.scrapers.base_scraper:run |   page 10: 33 listings
2026-06-09 22:50:22 | INFO     | ingestion.scrapers.base_scraper:run |   page 11: 33 listings
2026-06-09 22:50:27 | INFO     | ingestion.scrapers.base_scraper:run |   page 12: 33 listings
2026-06-09 22:50:32 | INFO     | ingestion.scrapers.base_scraper:run |   page 13: 33 listings
2026-06-09 22:50:38 | INFO     | ingestion.scrapers.base_scraper:run |   page 14: 33 listings
2026-06-09 22:50:42 | INFO     | ingestion.scrapers.base_scraper:run |   page 15: 33 listings
2026-06-09 22:50:45 | SUCCESS  | ingestion.scrapers.base_scraper:run | [mubawab][marrakech] total: 990
2026-06-09 22:50:47 | SUCCESS  | ingestion.pipeline:run_ingestion | [marrakech] 990 found → 950 new
2026-06-09 22:50:47 | INFO     | ingestion.scrapers.base_scraper:run | [mubawab][tanger] location...
2026-06-09 22:50:48 | INFO     | ingestion.scrapers.base_scraper:run |   page 1: 33 listings
2026-06-09 22:50:53 | INFO     | ingestion.scrapers.base_scraper:run |   page 2: 33 listings
2026-06-09 22:50:57 | INFO     | ingestion.scrapers.base_scraper:run |   page 3: 33 listings
2026-06-09 22:51:01 | INFO     | ingestion.scrapers.base_scraper:run |   page 4: 33 listings
2026-06-09 22:51:06 | INFO     | ingestion.scrapers.base_scraper:run |   page 5: 33 listings
2026-06-09 22:51:10 | INFO     | ingestion.scrapers.base_scraper:run |   page 6: 33 listings
2026-06-09 22:51:14 | INFO     | ingestion.scrapers.base_scraper:run |   page 7: 33 listings
2026-06-09 22:51:19 | INFO     | ingestion.scrapers.base_scraper:run |   page 8: 33 listings
2026-06-09 22:51:23 | INFO     | ingestion.scrapers.base_scraper:run |   page 9: 33 listings
2026-06-09 22:51:28 | INFO     | ingestion.scrapers.base_scraper:run |   page 10: 33 listings
2026-06-09 22:51:32 | INFO     | ingestion.scrapers.base_scraper:run |   page 11: 33 listings
2026-06-09 22:51:36 | INFO     | ingestion.scrapers.base_scraper:run |   page 12: 33 listings
2026-06-09 22:51:42 | INFO     | ingestion.scrapers.base_scraper:run |   page 13: 33 listings
2026-06-09 22:51:46 | INFO     | ingestion.scrapers.base_scraper:run |   page 14: 33 listings
2026-06-09 22:51:51 | INFO     | ingestion.scrapers.base_scraper:run |   page 15: 33 listings
2026-06-09 22:51:55 | INFO     | ingestion.scrapers.base_scraper:run | [mubawab][tanger] vente...
2026-06-09 22:51:56 | INFO     | ingestion.scrapers.base_scraper:run |   page 1: 33 listings
2026-06-09 22:52:00 | INFO     | ingestion.scrapers.base_scraper:run |   page 2: 33 listings
2026-06-09 22:52:04 | INFO     | ingestion.scrapers.base_scraper:run |   page 3: 33 listings
2026-06-09 22:52:09 | INFO     | ingestion.scrapers.base_scraper:run |   page 4: 33 listings
2026-06-09 22:52:14 | INFO     | ingestion.scrapers.base_scraper:run |   page 5: 33 listings
2026-06-09 22:52:19 | INFO     | ingestion.scrapers.base_scraper:run |   page 6: 33 listings
2026-06-09 22:52:24 | INFO     | ingestion.scrapers.base_scraper:run |   page 7: 33 listings
2026-06-09 22:52:27 | INFO     | ingestion.scrapers.base_scraper:run |   page 8: 33 listings
2026-06-09 22:52:31 | INFO     | ingestion.scrapers.base_scraper:run |   page 9: 33 listings
2026-06-09 22:52:36 | INFO     | ingestion.scrapers.base_scraper:run |   page 10: 33 listings
2026-06-09 22:52:41 | INFO     | ingestion.scrapers.base_scraper:run |   page 11: 33 listings
2026-06-09 22:52:45 | INFO     | ingestion.scrapers.base_scraper:run |   page 12: 33 listings
2026-06-09 22:52:49 | INFO     | ingestion.scrapers.base_scraper:run |   page 13: 33 listings
2026-06-09 22:52:53 | INFO     | ingestion.scrapers.base_scraper:run |   page 14: 33 listings
2026-06-09 22:52:58 | INFO     | ingestion.scrapers.base_scraper:run |   page 15: 33 listings
2026-06-09 22:53:02 | SUCCESS  | ingestion.scrapers.base_scraper:run | [mubawab][tanger] total: 990
2026-06-09 22:53:03 | SUCCESS  | ingestion.pipeline:run_ingestion | [tanger] 990 found → 989 new
2026-06-09 22:53:03 | INFO     | ingestion.scrapers.base_scraper:run | [mubawab][fes] location...
2026-06-09 22:53:04 | WARNING  | ingestion.scrapers.base_scraper:fetch | [mubawab] 404: https://www.mubawab.ma/fr/ct/fes/immobilier-a-louer
2026-06-09 22:53:04 | INFO     | ingestion.scrapers.base_scraper:run | [mubawab][fes] vente...
