raw_id,source,url,title,city,neighborhood,raw_price,raw_surface,raw_rooms,scraped_at,price,surface,rooms,property_type,transaction,price_per_m2,log_price,year,month,quarter,year_quarter,region,latitude,longitude,quality_score
1,mubawab,https://www.mubawab.ma/fr/a/8358644/beau-studio-meubl%C3%A9,Beau studio meublé,casablanca,,10 500 DH,"52
						m²",2 Pièces,2026-06-09 21:46:10.861717,10500.0,52.0,2.0,studio,location,,9.259130536145614,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
2,mubawab,https://www.mubawab.ma/fr/a/8335822/studio-en-location-%C3%A0-casablanca-finance-city-sans-terrasse-1-chambre-meubl%C3%A9,"Studio en location à Casablanca Finance City.
Sans terrasse...",casablanca,,9 000 DH,"60
						m²",2 Pièces,2026-06-09 21:46:10.867705,9000.0,60.0,2.0,studio,location,,9.104979856318357,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
3,mubawab,https://www.mubawab.ma/fr/a/8042277/bel-apparemment-%C3%A0-louer-meubl%C3%A9-vue-panoramique-sur-mer-et-mosqu%C3%A9e-hassan-ii,Bel apparemment à louer meublé vue panoramique sur mer et mo...,casablanca,"Ain Diab,
								Casablanca",25 000 DH,"160
						m²",4 Pièces,2026-06-09 21:46:10.868985,25000.0,160.0,4.0,autre,location,,10.126631103850338,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,1.0
4,mubawab,https://www.mubawab.ma/fr/a/8114762/cfc-casa-finance-city-location-d%E2%80%99un-magnifique-duplex-semi-meubl%C3%A9-avec-terrasses-cfc,CFC Casa finance city. Location d’un magnifique duplex semi...,casablanca,,30 000 DH,"295
						m²",6 Pièces,2026-06-09 21:46:10.870168,30000.0,295.0,6.0,duplex,location,,10.308952660644293,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
5,mubawab,https://www.mubawab.ma/fr/a/8349360/cfc-casa-finance-city-location-d-un-appartement-meubl%C3%A9-en-%C3%A9tage-%C3%A9lev%C3%A9-avec-grande-terrasse,"Cfc, casa finance city location d'un appartement meublé en é...",casablanca,,19 000 DH,"128
						m²",3 Pièces,2026-06-09 21:46:10.871350,19000.0,128.0,3.0,appartement,location,,9.852194258148577,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
6,mubawab,https://www.mubawab.ma/fr/a/8350689/studio-meubl%C3%A9-a-louer-avec-rooftop-privatif,Studio meublé a louer avec rooftop privatif,casablanca,,10 000 DH,"80
						m²",2 Pièces,2026-06-09 21:46:10.872893,10000.0,80.0,2.0,studio,location,,9.210340371976184,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
7,mubawab,https://www.mubawab.ma/fr/a/8355465/studio-neuf-haut-standing-salle-de-sport-terasse,Studio Neuf Haut Standing Salle de Sport & Terasse,casablanca,,6 800 DH,"48
						m²",2 Pièces,2026-06-09 21:46:10.875612,6800.0,48.0,2.0,studio,location,,8.824677891164198,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
8,mubawab,https://www.mubawab.ma/fr/p/4603/r%C3%A9sidence-batucada-studios-et-appartements-%C3%A0-vendre,Résidence Batucada - Studios et appartements à vendre,casablanca,,1 250 000 DH,,,2026-06-09 21:46:10.878885,1250000.0,,,studio,vente,,14.038654109278484,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.5
9,mubawab,https://www.mubawab.ma/fr/a/8297506/longue-dur%C3%A9e-duplex-meubl%C3%A9-3-ch-piscine-prk,Longue Durée Duplex Meublé 3 ch Piscine Prk,casablanca,,20 000 DH,"140
						m²",4 Pièces,2026-06-09 21:46:10.880807,20000.0,140.0,4.0,duplex,location,,9.903487552536127,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
10,mubawab,https://www.mubawab.ma/fr/a/8355609/appartement-%C3%A0-louer-%C3%A0-casablanca-finance-city-1-chambre-belle-terrasse,Appartement à louer à Casablanca Finance City. 1 chambre. Be...,casablanca,,8 800 DH,"59
						m²",Appartement à louer à Casablanca Finance City. 1 chambre. Be...,2026-06-09 21:46:10.881868,8800.0,59.0,1.0,appartement,location,,9.082507000466299,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
11,mubawab,https://www.mubawab.ma/fr/a/7771679/location-d-un-appartement-2-ch-quartier-des-h%C3%B4pitaux,Location d'un Appartement 2 Ch Quartier des Hôpitaux,casablanca,,7 500 DH,"57
						m²",3 Pièces,2026-06-09 21:46:10.882816,7500.0,57.0,3.0,appartement,location,,8.922658299524402,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
12,mubawab,https://www.mubawab.ma/fr/a/8043430/bel-appartement-%C3%A0-la-ville-verte,Bel appartement à la ville verte,casablanca,,9 000 DH,"50
						m²",2 Pièces,2026-06-09 21:46:10.884095,9000.0,50.0,2.0,appartement,location,,9.104979856318357,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
13,mubawab,https://www.mubawab.ma/fr/a/8258394/magnifique-studio-neuf-%C3%A0-louer-sur-cfc-jamais-habit%C3%A9,"Magnifique studio neuf à louer sur CFC, jamais habité",casablanca,,9 500 DH,"64
						m²",2 Pièces,2026-06-09 21:46:10.885320,9500.0,64.0,2.0,studio,location,,9.159047077588632,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
14,mubawab,https://www.mubawab.ma/fr/a/8341707/magnifique-studio-meubl%C3%A9-au-11-eme-etage-r%C3%A9sidence-bo52-cuisine-s%C3%A9par%C3%A9e-grande-terrasse-,"Magnifique studio meublé au 11 eme etage, résidence BO52, cu...",casablanca,,9 500 DH,"64
						m²",2 Pièces,2026-06-09 21:46:10.888063,9500.0,64.0,2.0,studio,location,,9.159047077588632,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
15,mubawab,https://www.mubawab.ma/fr/a/8358081/joli-studio-54-m%C2%B2-l-hermitage,"Joli studio 54 m², L'hermitage",casablanca,,7 400 DH,"Joli studio 54 m², L'hermitage",2 Pièces,2026-06-09 21:46:10.889802,7400.0,54.0,2.0,studio,location,,8.909235279192261,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
16,mubawab,https://www.mubawab.ma/fr/a/8357795/louez-cet-appartement-%C3%A0-casablanca-finance-city-surface-de-59-m%C2%B2-garage-et-terrasse,"Louez cet appartement à Casablanca Finance City. 
Surface de...",casablanca,,8 800 DH,"59
						m²",2 Pièces,2026-06-09 21:46:10.891220,8800.0,59.0,2.0,appartement,location,,9.082507000466299,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
17,mubawab,https://www.mubawab.ma/fr/a/8360493/appartement-%C3%A0-louer-%C3%A0-hermitage-3-grandes-pi%C3%A8ces-meubl%C3%A9,"Appartement à louer à Hermitage. 
3 grandes pièces. 
Meublé",casablanca,,10 000 DH,"80
						m²",3 Pièces,2026-06-09 21:46:10.892243,10000.0,80.0,3.0,appartement,location,,9.210340371976184,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
18,mubawab,https://www.mubawab.ma/fr/a/8357435/appartement-%C3%A0-louer-%C3%A0-palmier-2-pi%C3%A8ces-confortables-ascenseur-et-terrasse,Appartement à louer à Palmier. 2 pièces confortables. Ascens...,casablanca,,5 500 DH,"50
						m²",Appartement à louer à Palmier. 2 pièces confortables. Ascens...,2026-06-09 21:46:10.893211,5500.0,50.0,2.0,appartement,location,,8.612503371220562,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
19,mubawab,https://www.mubawab.ma/fr/a/8347873/studio-meubl%C3%A9-c%C3%B4t%C3%A9-tram-quartier-palmier,Studio meublé côté tram quartier palmier,casablanca,,6 800 DH,"42
						m²",2 Pièces,2026-06-09 21:46:10.894161,6800.0,42.0,2.0,studio,location,,8.824677891164198,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
20,mubawab,https://www.mubawab.ma/fr/a/8357925/superbe-appartement-%C3%A0-louer-%C3%A0-ain-diab-1-pi%C3%A8ce-bien-meubl%C3%A9,"Superbe appartement à louer à Ain Diab. 
1 Pièce. 
Bien meub...",casablanca,"Superbe appartement à louer à Ain Diab. 
1 Pièce. 
Bien meub...",9 500 DH,"55
						m²","Superbe appartement à louer à Ain Diab. 
1 Pièce. 
Bien meub...",2026-06-09 21:46:10.895071,9500.0,55.0,1.0,appartement,location,,9.159047077588632,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,1.0
21,mubawab,https://www.mubawab.ma/fr/a/8358652/bel-appartement-%C3%A0-cfc-meubl%C3%A9,Bel appartement à cfc meublé,casablanca,,14 500 DH,"110
						m²",3 Pièces,2026-06-09 21:46:10.895981,14500.0,110.0,3.0,appartement,location,,9.581903928408666,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
22,mubawab,https://www.mubawab.ma/fr/a/8293328/beau-studio-meubl%C3%A9-avec-terrasse-dernier-%C3%A9tage,"Beau studio meublé avec terrasse, dernier étage",casablanca,,7 300 DH,"65
						m²",2 Pièces,2026-06-09 21:46:10.897006,7300.0,65.0,2.0,studio,location,,8.895629627136483,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
23,mubawab,https://www.mubawab.ma/fr/a/8358337/studio-a-la-location-meubl%C3%A9-a-bourgogne-10000dh,"Studio a la location meublé a Bourgogne 
10000dh",casablanca,"Studio a la location meublé a Bourgogne 
10000dh",10 000 DH,"67
						m²",2 Pièces,2026-06-09 21:46:10.898086,10000.0,67.0,2.0,studio,location,,9.210340371976184,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,1.0
24,mubawab,https://www.mubawab.ma/fr/a/8350773/appartement,Appartement,casablanca,,12 000 DH,"95
						m²",1 Pièce,2026-06-09 21:46:10.899025,12000.0,95.0,1.0,appartement,location,,9.392661928770137,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
25,mubawab,https://www.mubawab.ma/fr/a/8361614/appartement-d%E2%80%99exception-en-location-%C3%A0-ain-diab,Appartement d’exception en location à Ain Diab,casablanca,Appartement d’exception en location à Ain Diab,23 000 DH,"222
						m²",6 Pièces,2026-06-09 21:46:10.899951,23000.0,222.0,6.0,appartement,location,,10.043249494911286,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,1.0
26,mubawab,https://www.mubawab.ma/fr/a/8360890/sans-interm%C3%A9diaire-location-studio-bo52,Sans intermédiaire location studio Bo52,casablanca,,11 000 DH,"65
						m²",1 Pièce,2026-06-09 21:46:10.901049,11000.0,65.0,1.0,studio,location,,9.305650551780507,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
27,mubawab,https://www.mubawab.ma/fr/a/8360654/appartement-haut-standing-r%C3%A9sidence-av-taddart,Appartement haut standing résidence av. Taddart,casablanca,,9 500 DH,"96
						m²",3 Pièces,2026-06-09 21:46:10.902727,9500.0,96.0,3.0,appartement,location,,9.159047077588632,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
28,mubawab,https://www.mubawab.ma/fr/a/8359187/bel-appart-meubl%C3%A9-2-ch-81m%C2%B2-haut-%C3%A9tage-%E2%80%93belv%C3%A9d%C3%A8re,Bel appart meublé 2 ch 81m² Haut étage –Belvédère,casablanca,,8 500 DH,Bel appart meublé 2 ch 81m² Haut étage –Belvédère,2 Pièces,2026-06-09 21:46:10.903981,8500.0,81.0,2.0,appartement,location,,9.047821442478408,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
29,mubawab,https://www.mubawab.ma/fr/a/8357328/appartement-meubl%C3%A9-terrasse-ferme-bretonne-laya,"Appartement meublé terrasse, Ferme Bretonne Laya",casablanca,,11 500 DH,"113
						m²",3 Pièces,2026-06-09 21:46:10.905648,11500.0,113.0,3.0,appartement,location,,9.350102314351341,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
31,mubawab,https://www.mubawab.ma/fr/a/8356281/studio-haut-standing-neuf-vide-60m%C2%B2-%E2%80%93-palmier,Studio haut standing neuf vide 60m² – Palmier,casablanca,,6 500 DH,Studio haut standing neuf vide 60m² – Palmier,1 Pièce,2026-06-09 21:46:10.908311,6500.0,60.0,1.0,studio,location,,8.779557455883728,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
32,mubawab,https://www.mubawab.ma/fr/a/8355479/studio-meubl%C3%A9-haut-standing-au-c%C5%93ur-du-maarif,Studio Meublé Haut Standing au Cœur du Maarif,casablanca,Studio Meublé Haut Standing au Cœur du Maarif,6 200 DH,"50
						m²",2 Pièces,2026-06-09 21:46:10.909248,6200.0,50.0,2.0,studio,location,,8.732304571033183,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,1.0
33,mubawab,https://www.mubawab.ma/fr/a/8355091/grand-studio-meubl%C3%A9-neuf-47m2-%C3%A0-casa-avec-parking,Grand studio meublé neuf 47m2 à Casa avec parking,casablanca,,9 000 DH,"47
						m²",2 Pièces,2026-06-09 21:46:10.910151,9000.0,47.0,2.0,studio,location,,9.104979856318357,2026,6,2,2026-Q2,Grand Casablanca-Settat,33.5731,-7.5898,0.8333333333333334
